Country/Region,Total Population,Muslim Population,Muslim percentage of total population,Percentage of world (%)
Greenland,57691,"< 1,000",< 0.1,< 0.1
Grenada,112207,"< 1,000",0.3,< 0.1
Guadeloupe,402119,2000,0.4,< 0.1
Guam,167772,"< 1,000",< 0.1,< 0.1
Guatemala,16581273,1200,< 0.1,< 0.1
Guinea,11855411,10563171,89.1,0.5
Guinea-Bissau,1976187,911023,46.1,< 0.1
Guyana,740685,55000,7.3,< 0.1
Haiti,10788440,5000,< 0.1,< 0.1
Honduras,9182766,30000,0.3,< 0.1
Hong Kong,7213338,295746,4.1,< 0.1
Hungary,9825704,"40,000–60,000",0.4–0.6,< 0.1
Iceland,343518,"< 1,000",0.2,< 0.1
India,1370000000,200000000,14.6,10.9
Indonesia,275000000,236000000,86.7,12.7
Iran,83000000,82500000,99.4,4.6
Iraq,40462701,"38,439,566–39,653,447",95-98,1.9
Ireland,5068050,70952,1.4,< 0.1
Isle of Man,89407,"< 1,000",0.2,< 0.1
Israel,8424904,1516482,18,0.1
Italy,62246674,2987840,4.8,0.1
Jamaica,2812090,5624,0.2,< 0.1
Japan,126000000,185000,0.1,< 0.1
Jordan,10458413,10165577,97.2,0.4
Kazakhstan,18744548,13158672,70.2,0.5
Kenya,48397527,5500000,11.2,0.2
Kiribati,109367,"< 1,000",< 0.1,< 0.1
Kosovo,1907592,1823657,95.6,0.1
Kuwait,2916467,2175684,74.6,0.2
Kyrgyzstan,6500000,"5,200,000–5,850,000",80–90,0.3
Laos,7234171,1000,< 0.1,< 0.1
Latvia,1923559,2000,0.1–0.2,< 0.1
Lebanon,5261372,3567211,67.8,0.2
Lesotho,1962461,3000,0.1,< 0.1
Liberia,4809768,961953,20,< 0.1
Libya,6754507,6551871,97,0.4
Liechtenstein,38000,2050,5.4,< 0.1
Lithuania,2793284,3000,0.1,< 0.1
Luxembourg,640000,15000,2.3,< 0.1
Macau,606340,"< 1,000",0.1,< 0.1
Madagascar,25683610,2568361,10,< 0.1
Malawi,19842560,3968512,20,0.1
Malaysia,32730000,20063500,63.5,1.1
Maldives,374775,374775,98.4,< 0.1
Mali,18429893,17508398,95,0.8
Malta,449043,11675,2.6,< 0.1
Marshall Islands,75684,"< 1,000",< 0.1,< 0.1
Martinique,385551,"< 1,000",0.2,< 0.1
Mauritania,4161925,4157425,99.9,0.2
Mauritius,1364283,236020,17.3,< 0.1
Mayotte,256518,253439,97,< 0.1
Mexico,127000000,5500,0.01,< 0.01
Moldova,3437720,15000,0.4,< 0.1
Monaco,30727,"< 1,000",0.8,< 0.1
Mongolia,3103428,150000,5,< 0.1
Montenegro,614249,122849,19.1,< 0.1
Montserrat,5315,"< 1,000",0.1,< 0.1
Morocco,36738229,36370847,99,4.1
Mozambique,30888034,5837839,18.9,0.3
Myanmar,55622506,2391767,4.3,0.1
Namibia,2413643,9654,0.4,< 0.1
