Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2008","2008","t","61.65","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2009","2009","t","58.81","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2010","2010","t","50","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2011","2011","t","46","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2012","2012","t","42","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2013","2013","t","43","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2014","2014","t","40","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2015","2015","t","56.38","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2016","2016","t","57.22","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2017","2017","t","52.66","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2018","2018","t","54.01","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2019","2019","t","52.24","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2020","2020","t","51.08","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2021","2021","t","41.62","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2022","2022","t","42.32","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2023","2023","t","39.73","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2005","2005","t","1459.95","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2006","2006","t","1114.07","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2007","2007","t","1063.87","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2008","2008","t","976.91","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2009","2009","t","1074.56","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2010","2010","t","961.27","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2011","2011","t","1023.82","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2012","2012","t","998.87","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2013","2013","t","936.62","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2014","2014","t","843.63","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2015","2015","t","909.22","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2016","2016","t","856.32","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21512","Cattle fat, unrendered","2017","2017","t","838.87","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2005","2005","t","7007.76","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2006","2006","t","5347.53","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2007","2007","t","5106.59","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2008","2008","t","4689.18","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2009","2009","t","5157.88","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2010","2010","t","4614.12","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2011","2011","t","4914.35","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2012","2012","t","4794.59","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2013","2013","t","4495.76","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2014","2014","t","4049.41","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2015","2015","t","4364.24","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2016","2016","t","4110.35","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2017","2017","t","4026.59","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2005","2005","t","29783","A","Official figure",""
